順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
251,6870,東証2部,日本フェンオール(株),02/06,"1,472",2019/12,58.00,3.94%,掲示板
252,8968,東証,福岡リート投資法人,09:31,"185,900",2020/02,"7,330.00",3.94%,掲示板
253,5280,東証JQS,ヨシコン(株),09:22,"1,145",2020/03,45.00,3.93%,掲示板
254,4215,東証1部,タキロンシーアイ(株),09:32,688,2020/03,27.00,3.92%,掲示板
255,4224,東証2部,ロンシール工業(株),09:00,"2,040",2020/03,80.00,3.92%,掲示板
256,6439,名証2部,中日本鋳工(株),09:00,765,2020/03,30.00,3.92%,掲示板
257,7945,東証2部,コマニー(株),09:08,"1,327",2020/03,52.00,3.92%,掲示板
258,8070,東証1部,東京産業(株),09:32,612,2020/03,24.00,3.92%,掲示板
259,7718,東証1部,スター精密(株),09:32,"1,431",2019/12,56.00,3.91%,掲示板
260,7829,マザーズ,(株)サマンサタバサジャパンリミテッド,09:25,256,2020/02,10.00,3.91%,掲示板
261,7847,東証JQS,(株)グラファイトデザイン,09:08,512,2020/02,20.00,3.91%,掲示板
262,8591,東証1部,オリックス(株),09:33,"1,945",2020/03,76.00,3.91%,掲示板
263,8860,東証1部,フジ住宅(株),09:17,691,2020/03,27.00,3.91%,掲示板
264,1820,東証1部,西松建設(株),09:33,"2,565",2020/03,100.00,3.90%,掲示板
265,3308,東証,日本ヘルスケア投資法人,09:24,"217,000",2020/03,"8,460.00",3.90%,掲示板
266,7278,東証1部,(株)エクセディ,09:33,"2,310",2020/03,90.00,3.90%,掲示板
267,8984,東証,大和ハウスリート投資法人,09:30,"289,800",2020/02,"11,310.00",3.90%,掲示板
268,7267,東証1部,ホンダ,09:33,"2,875.5",2020/03,112.00,3.89%,掲示板
269,7958,東証1部,天馬(株),09:32,"2,054",2020/03,80.00,3.89%,掲示板
270,8393,東証1部,(株)宮崎銀行,09:19,"2,569",2020/03,100.00,3.89%,掲示板
271,8986,東証,日本賃貸住宅投資法人,09:33,"106,800",2020/03,"4,150.00",3.89%,掲示板
272,3278,東証,ケネディクス・レジデンシャル・ネクスト投資法人,09:32,"209,800",2020/07,"8,130.00",3.88%,掲示板
273,5851,東証1部,リョービ(株),09:32,"1,806",2019/12,70.00,3.88%,掲示板
274,8343,東証1部,(株)秋田銀行,09:22,"2,063",2020/03,80.00,3.88%,掲示板
275,8898,東証JQS,(株)センチュリー２１・ジャパン,09:00,"1,292",2020/03,50.00,3.87%,掲示板
276,2763,東証JQS,(株)エフティグループ,09:31,"1,529",2020/03,59.00,3.86%,掲示板
277,6087,東証1部,(株)アビスト,09:32,"2,645",2020/09,102.00,3.86%,掲示板
278,6826,東証1部,本多通信工業(株),09:32,544,2020/03,21.00,3.86%,掲示板
279,7888,東証1部,三光合成(株),09:17,363,2020/05,14.00,3.86%,掲示板
280,8953,東証,日本リテールファンド投資法人,09:32,"235,700",2020/02,"9,100.00",3.86%,掲示板
281,5461,名証1部,中部鋼鈑(株),09:08,728,2020/03,28.00,3.85%,掲示板
282,5928,東証2部,アルメタックス(株),09:32,312,2020/03,12.00,3.85%,掲示板
283,8386,東証1部,(株)百十四銀行,09:28,"2,077",2020/03,80.00,3.85%,掲示板
284,4735,東証2部,(株)京進,02/06,851,2020/05,32.65,3.84%,掲示板
285,9503,東証1部,関西電力(株),09:33,"1,304.5",2020/03,50.00,3.83%,掲示板
286,3177,東証JQS,(株)ありがとうサービス,02/06,"2,356",2020/02,90.00,3.82%,掲示板
287,3548,東証1部,(株)バロックジャパンリミテッド,09:32,994,2020/02,38.00,3.82%,掲示板
288,6246,東証2部,(株)テクノスマート,09:26,942,2020/03,36.00,3.82%,掲示板
289,7872,東証1部,エステールホールディングス(株),09:07,706,2020/03,27.00,3.82%,掲示板
290,1720,東証1部,東急建設(株),09:33,787,2020/03,30.00,3.81%,掲示板
291,5949,東証1部,ユニプレス(株),09:32,"1,443",2020/03,55.00,3.81%,掲示板
292,8714,東証1部,(株)池田泉州ホールディングス,09:30,197,2020/03,7.50,3.81%,掲示板
293,9437,東証1部,(株)ＮＴＴドコモ,09:33,"3,147",2020/03,120.00,3.81%,掲示板
294,9908,東証JQS,Ｄｅｎｋｅｉ,09:18,"1,314",2020/03,50.00,3.81%,掲示板
295,1948,東証2部,(株)弘電社,09:28,"5,270",2020/03,200.00,3.80%,掲示板
296,7169,東証JQS,(株)ＮＦＣホールディングス,02/06,"2,103",2020/03,80.00,3.80%,掲示板
297,8016,東証1部,(株)オンワードホールディングス,09:31,631,2020/02,24.00,3.80%,掲示板
298,9422,東証1部,コネクシオ(株),09:33,"1,580",2020/03,60.00,3.80%,掲示板
299,5444,東証1部,大和工業(株),09:32,"2,637",2020/03,100.00,3.79%,掲示板
300,2429,東証1部,(株)ワールドホールディングス,09:26,"1,731",2019/12,65.50,3.78%,掲示板
順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
